Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
03-08-2022;00:00:00;04-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;3,224;kWh;Gevalideerd
03-08-2022;00:00:00;04-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;1,350;kWh;Gevalideerd
03-08-2022;00:00:00;04-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
03-08-2022;00:00:00;04-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
04-08-2022;00:00:00;05-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;1,737;kWh;Gevalideerd
04-08-2022;00:00:00;05-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,724;kWh;Gevalideerd
04-08-2022;00:00:00;05-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
04-08-2022;00:00:00;05-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
05-08-2022;00:00:00;06-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;2,343;kWh;Gevalideerd
05-08-2022;00:00:00;06-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,828;kWh;Gevalideerd
05-08-2022;00:00:00;06-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
05-08-2022;00:00:00;06-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
06-08-2022;00:00:00;07-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,000;kWh;Gevalideerd
06-08-2022;00:00:00;07-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;3,547;kWh;Gevalideerd
06-08-2022;00:00:00;07-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
06-08-2022;00:00:00;07-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
07-08-2022;00:00:00;08-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,000;kWh;Gevalideerd
07-08-2022;00:00:00;08-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;2,438;kWh;Gevalideerd
07-08-2022;00:00:00;08-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
07-08-2022;00:00:00;08-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-08-2022;00:00:00;09-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;1,998;kWh;Gevalideerd
08-08-2022;00:00:00;09-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,772;kWh;Gevalideerd
08-08-2022;00:00:00;09-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
08-08-2022;00:00:00;09-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-08-2022;00:00:00;10-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;3,878;kWh;Gevalideerd
09-08-2022;00:00:00;10-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,999;kWh;Gevalideerd
09-08-2022;00:00:00;10-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-08-2022;00:00:00;10-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
10-08-2022;00:00:00;11-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;2,198;kWh;Gevalideerd
10-08-2022;00:00:00;11-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,680;kWh;Gevalideerd
10-08-2022;00:00:00;11-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
10-08-2022;00:00:00;11-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
11-08-2022;00:00:00;12-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;1,977;kWh;Gevalideerd
11-08-2022;00:00:00;12-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,808;kWh;Gevalideerd
11-08-2022;00:00:00;12-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
11-08-2022;00:00:00;12-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
12-08-2022;00:00:00;13-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;3,352;kWh;Gevalideerd
12-08-2022;00:00:00;13-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,640;kWh;Gevalideerd
