Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
17-05-2024;12:00:00;17-05-2024;12:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,047;kWh;Gevalideerd
17-05-2024;12:00:00;17-05-2024;12:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;12:15:00;17-05-2024;12:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,036;kWh;Gevalideerd
17-05-2024;12:15:00;17-05-2024;12:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;12:30:00;17-05-2024;12:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,035;kWh;Gevalideerd
17-05-2024;12:30:00;17-05-2024;12:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;12:45:00;17-05-2024;13:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,032;kWh;Gevalideerd
17-05-2024;12:45:00;17-05-2024;13:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;13:00:00;17-05-2024;13:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,033;kWh;Gevalideerd
17-05-2024;13:00:00;17-05-2024;13:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;13:15:00;17-05-2024;13:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,035;kWh;Gevalideerd
17-05-2024;13:15:00;17-05-2024;13:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;13:30:00;17-05-2024;13:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,027;kWh;Gevalideerd
17-05-2024;13:30:00;17-05-2024;13:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;13:45:00;17-05-2024;14:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,024;kWh;Gevalideerd
17-05-2024;13:45:00;17-05-2024;14:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;14:00:00;17-05-2024;14:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,026;kWh;Gevalideerd
17-05-2024;14:00:00;17-05-2024;14:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;14:15:00;17-05-2024;14:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,045;kWh;Gevalideerd
17-05-2024;14:15:00;17-05-2024;14:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;14:30:00;17-05-2024;14:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,038;kWh;Gevalideerd
17-05-2024;14:30:00;17-05-2024;14:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;14:45:00;17-05-2024;15:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,024;kWh;Gevalideerd
17-05-2024;14:45:00;17-05-2024;15:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;15:00:00;17-05-2024;15:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,024;kWh;Gevalideerd
17-05-2024;15:00:00;17-05-2024;15:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;15:15:00;17-05-2024;15:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,029;kWh;Gevalideerd
17-05-2024;15:15:00;17-05-2024;15:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;15:30:00;17-05-2024;15:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,031;kWh;Gevalideerd
17-05-2024;15:30:00;17-05-2024;15:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;15:45:00;17-05-2024;16:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,032;kWh;Gevalideerd
17-05-2024;15:45:00;17-05-2024;16:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;16:00:00;17-05-2024;16:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,031;kWh;Gevalideerd
17-05-2024;16:00:00;17-05-2024;16:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;16:15:00;17-05-2024;16:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,023;kWh;Gevalideerd
17-05-2024;16:15:00;17-05-2024;16:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;16:30:00;17-05-2024;16:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,025;kWh;Gevalideerd
17-05-2024;16:30:00;17-05-2024;16:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;16:45:00;17-05-2024;17:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,025;kWh;Gevalideerd
17-05-2024;16:45:00;17-05-2024;17:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;17:00:00;17-05-2024;17:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,033;kWh;Gevalideerd
17-05-2024;17:00:00;17-05-2024;17:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;17:15:00;17-05-2024;17:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,033;kWh;Gevalideerd
17-05-2024;17:15:00;17-05-2024;17:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;17:30:00;17-05-2024;17:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,032;kWh;Gevalideerd
17-05-2024;17:30:00;17-05-2024;17:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;17:45:00;17-05-2024;18:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,026;kWh;Gevalideerd
17-05-2024;17:45:00;17-05-2024;18:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;18:00:00;17-05-2024;18:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,019;kWh;Gevalideerd
17-05-2024;18:00:00;17-05-2024;18:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;18:15:00;17-05-2024;18:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,019;kWh;Gevalideerd
